10 20 30	11 21 31	12 22 32	13 23 33	14 24 34
20 30 40	21 31 41	22 32 42	23 33 43	24 34 44
30 40 50	31 41 51	32 42 52	33 43 53	34 44 54
40 50 60	41 51 61	42 52 62	43 53 63	44 54 64
50 60 70	51 61 71	52 62 72	53 63 73	54 64 74



A   14  1E  	B   15  1F  	C   16  20 	D   17  21  	E   18  22
14  1E  28  	15  1F  29  	16  20  2A  	17  21  2B  	18  22  2C
1E  28  32  	1F  29  33  	20  2A  34  	21  2B  35  	22  2C  36
28  32  3C  	29  33  3D  	2A  34  3E  	2B  35  3F  	2C  36  40
32  3C  46  	33  3D  47  	34  3E  48  	35  3F  49  	36  40  4A

